0.0000010	    0.460
0.0000010	    0.465
0.0000010	    0.470
0.0000010	    0.475
0.0000010	    0.480
0.0000010	    0.485
0.0000010	    0.490
0.0000011	    0.460
0.0000011	    0.465
0.0000011	    0.470
0.0000011	    0.475
0.0000011	    0.480
0.0000011	    0.485
0.0000011	    0.490
0.0000012	    0.460
0.0000012	    0.465
0.0000012	    0.470
0.0000012	    0.475
0.0000012	    0.480
0.0000012	    0.485
0.0000012	    0.490
0.0000013	    0.460
0.0000013	    0.465
0.0000013	    0.470
0.0000013	    0.475
0.0000013	    0.480
0.0000013	    0.485
0.0000013	    0.490
0.0000014	    0.460
0.0000014	    0.465
0.0000014	    0.470
0.0000014	    0.475
0.0000014	    0.480
0.0000014	    0.485
0.0000014	    0.490
0.0000015	    0.460
0.0000015	    0.465
0.0000015	    0.470
0.0000015	    0.475
0.0000015	    0.480
0.0000015	    0.485
0.0000015	    0.490
