
 Node          U1          U2          U3
  124  -7.341e-03  -7.606e-03   1.367e-03
  125  -6.205e-03  -5.905e-03   1.247e-03
  126  -5.234e-03  -4.513e-03   1.148e-03
  127  -4.362e-03  -3.330e-03   1.075e-03
  128  -3.536e-03  -2.324e-03   1.020e-03
  129  -2.724e-03  -1.501e-03   9.582e-04
  130  -1.911e-03  -8.710e-04   8.444e-04
  131  -1.054e-03  -4.780e-04   6.466e-04
  132  -1.054e-03  -4.780e-04  -6.466e-04
  133  -1.911e-03  -8.710e-04  -8.444e-04
  134  -2.724e-03  -1.501e-03  -9.582e-04
  135  -3.536e-03  -2.324e-03  -1.020e-03
  136  -4.362e-03  -3.330e-03  -1.075e-03
  137  -5.234e-03  -4.513e-03  -1.148e-03
  138  -6.205e-03  -5.905e-03  -1.247e-03
  139  -7.341e-03  -7.606e-03  -1.367e-03
  140  -8.690e-03  -9.794e-03  -1.487e-03
  141  -1.123e-11  -4.219e-12   1.337e-12
  142  -1.141e-11  -4.382e-12   9.250e-13
  143  -1.170e-11  -4.517e-12   4.274e-13
  144  -1.179e-11  -4.560e-12   4.005e-26
  145  -1.170e-11  -4.517e-12  -4.274e-13
  146  -1.141e-11  -4.382e-12  -9.250e-13
  147  -1.123e-11  -4.219e-12  -1.337e-12
  148   9.388e-12  -8.425e-14   3.994e-12
  149   5.956e-12   2.854e-13   2.533e-12
  150   2.887e-12   5.266e-13   1.234e-12
  151  -1.153e-13   6.259e-13  -3.924e-14
  152  -3.128e-12   6.085e-13  -1.318e-12
  153  -6.193e-12   3.977e-13  -2.619e-12
  154  -9.499e-12  -1.919e-14  -4.035e-12
  155  -9.499e-12  -1.919e-14   4.035e-12
  156  -6.193e-12   3.977e-13   2.619e-12
  157  -3.128e-12   6.085e-13   1.318e-12
  158  -1.153e-13   6.259e-13   3.924e-14
  159   2.887e-12   5.266e-13  -1.234e-12
  160   5.956e-12   2.854e-13  -2.533e-12
  161   9.388e-12  -8.425e-14  -3.994e-12
  162   2.700e-03  -1.117e-02   9.425e-04
  163   3.309e-03  -1.096e-02   5.335e-04
  164   4.211e-03  -1.092e-02   3.352e-04
  165   4.211e-03  -1.092e-02  -3.352e-04
  166   3.309e-03  -1.096e-02  -5.335e-04
  167   2.700e-03  -1.117e-02  -9.425e-04
  168   4.867e-03  -1.683e-02  -1.245e-03
  169   6.561e-03  -2.182e-02  -1.231e-03
  170   7.975e-03  -2.757e-02  -1.128e-03
  171   9.208e-03  -3.396e-02  -9.972e-04
  172   1.026e-02  -4.093e-02  -8.517e-04
  173   1.113e-02  -4.838e-02  -6.966e-04
  174   1.183e-02  -5.622e-02  -5.282e-04
  175   1.241e-02  -6.438e-02  -3.255e-04
  176   1.295e-02  -7.290e-02   7.962e-06
  177   4.810e-03  -1.723e-02  -7.517e-04
  178   6.513e-03  -2.227e-02  -7.824e-04
  179   7.946e-03  -2.800e-02  -7.364e-04
  180   9.190e-03  -3.435e-02  -6.570e-04
  181   1.025e-02  -4.127e-02  -5.635e-04
  182   1.113e-02  -4.866e-02  -4.599e-04
  183   1.183e-02  -5.644e-02  -3.414e-04
  184   1.241e-02  -6.454e-02  -1.906e-04
  185   1.286e-02  -7.288e-02  -1.911e-05
  186   4.789e-03  -1.745e-02  -3.533e-04
  187   6.483e-03  -2.250e-02  -3.761e-04
  188   7.915e-03  -2.824e-02  -3.611e-04
  189   9.163e-03  -3.457e-02  -3.253e-04
  190   1.023e-02  -4.146e-02  -2.799e-04
  191   1.111e-02  -4.882e-02  -2.277e-04
  192   1.181e-02  -5.657e-02  -1.660e-04
  193   1.237e-02  -6.462e-02  -9.351e-05
  194   1.282e-02  -7.293e-02  -2.502e-05
  195   4.783e-03  -1.751e-02  -1.883e-16
  196   6.473e-03  -2.258e-02  -2.321e-16
  197   7.903e-03  -2.831e-02  -2.866e-16
  198   9.152e-03  -3.464e-02  -3.287e-16
  199   1.022e-02  -4.153e-02  -3.700e-16
  200   1.110e-02  -4.888e-02  -3.980e-16
  201   1.180e-02  -5.661e-02  -4.306e-16
  202   1.235e-02  -6.465e-02  -4.684e-16
  203   1.280e-02  -7.295e-02  -4.963e-16
  204   4.789e-03  -1.745e-02   3.533e-04
  205   6.483e-03  -2.250e-02   3.761e-04
  206   7.915e-03  -2.824e-02   3.611e-04
  207   9.163e-03  -3.457e-02   3.253e-04
  208   1.023e-02  -4.146e-02   2.799e-04
  209   1.111e-02  -4.882e-02   2.277e-04
  210   1.181e-02  -5.657e-02   1.660e-04
  211   1.237e-02  -6.462e-02   9.351e-05
  212   1.282e-02  -7.293e-02   2.502e-05
  213   4.810e-03  -1.723e-02   7.517e-04
  214   6.513e-03  -2.227e-02   7.824e-04
  215   7.946e-03  -2.800e-02   7.364e-04
  216   9.190e-03  -3.435e-02   6.570e-04
  217   1.025e-02  -4.127e-02   5.635e-04
  218   1.113e-02  -4.866e-02   4.599e-04
  219   1.183e-02  -5.644e-02   3.414e-04
  220   1.241e-02  -6.454e-02   1.906e-04
  221   1.286e-02  -7.288e-02   1.911e-05
  222   4.867e-03  -1.683e-02   1.245e-03
  223   6.561e-03  -2.182e-02   1.231e-03
  224   7.975e-03  -2.757e-02   1.128e-03
  225   9.208e-03  -3.396e-02   9.972e-04
  226   1.026e-02  -4.093e-02   8.517e-04
  227   1.113e-02  -4.838e-02   6.966e-04
  228   1.183e-02  -5.622e-02   5.282e-04
  229   1.241e-02  -6.438e-02   3.255e-04
  230   1.295e-02  -7.290e-02  -7.962e-06
  231  -1.191e-02  -1.720e-02   1.122e-03
  232  -1.353e-02  -2.198e-02   1.099e-03
  233  -1.501e-02  -2.761e-02   1.032e-03
  234  -1.630e-02  -3.398e-02   9.268e-04
  235  -1.738e-02  -4.095e-02   7.937e-04
  236  -1.826e-02  -4.842e-02   6.444e-04
  237  -1.893e-02  -5.629e-02   4.935e-04
  238  -1.935e-02  -6.441e-02   3.644e-04
  239  -1.953e-02  -7.260e-02   2.857e-04
  240  -1.196e-02  -1.761e-02   6.967e-04
  241  -1.356e-02  -2.240e-02   6.878e-04
  242  -1.501e-02  -2.803e-02   6.534e-04
  243  -1.628e-02  -3.435e-02   5.934e-04
  244  -1.735e-02  -4.128e-02   5.131e-04
  245  -1.822e-02  -4.869e-02   4.211e-04
  246  -1.887e-02  -5.648e-02   3.295e-04
  247  -1.929e-02  -6.454e-02   2.536e-04
  248  -1.948e-02  -7.268e-02   2.096e-04
  249  -1.200e-02  -1.783e-02   3.313e-04
  250  -1.358e-02  -2.264e-02   3.287e-04
  251  -1.501e-02  -2.826e-02   3.146e-04
  252  -1.626e-02  -3.457e-02   2.880e-04
  253  -1.732e-02  -4.147e-02   2.509e-04
  254  -1.817e-02  -4.884e-02   2.078e-04
  255  -1.882e-02  -5.660e-02   1.651e-04
  256  -1.924e-02  -6.463e-02   1.301e-04
  257  -1.943e-02  -7.274e-02   1.103e-04
  258  -1.201e-02  -1.790e-02  -7.700e-17
  259  -1.358e-02  -2.271e-02  -1.080e-16
  260  -1.501e-02  -2.833e-02  -1.380e-16
  261  -1.625e-02  -3.464e-02  -1.754e-16
  262  -1.730e-02  -4.153e-02  -2.244e-16
  263  -1.815e-02  -4.890e-02  -2.654e-16
  264  -1.880e-02  -5.664e-02  -3.056e-16
  265  -1.922e-02  -6.465e-02  -3.567e-16
  266  -1.941e-02  -7.276e-02  -3.864e-16
  267  -1.200e-02  -1.783e-02  -3.313e-04
  268  -1.358e-02  -2.264e-02  -3.287e-04
  269  -1.501e-02  -2.826e-02  -3.146e-04
  270  -1.626e-02  -3.457e-02  -2.880e-04
  271  -1.732e-02  -4.147e-02  -2.509e-04
  272  -1.817e-02  -4.884e-02  -2.078e-04
  273  -1.882e-02  -5.660e-02  -1.651e-04
  274  -1.924e-02  -6.463e-02  -1.301e-04
  275  -1.943e-02  -7.274e-02  -1.103e-04
  276  -1.196e-02  -1.761e-02  -6.967e-04
