145	79	80	81
146	145	81	82
147	78	79	145
148	146	82	83
149	77	78	147
150	147	145	146
151	148	83	84
152	76	77	149
153	150	146	148
154	149	147	150
155	151	84	85
156	75	76	152
157	153	148	151
158	152	149	154
150	153	159	154
160	155	85	86
161	74	75	156
162	157	151	155
163	156	152	158
153	157	164	159
154	159	165	158
166	160	86	87
167	73	74	161
168	162	155	160
169	161	156	163
170	164	157	162
158	165	171	163
159	164	172	165
173	166	87	88
174	72	73	167
175	168	160	166
176	167	161	169
177	170	162	168
178	169	163	171
179	172	164	170
165	172	180	171
181	173	88	89
183	71	72	174
182	175	166	173
185	174	167	176
184	177	168	175
187	176	169	178
186	179	170	177
188	178	171	180
189	180	172	179
190	181	89	90
192	70	71	183
191	182	173	181
175	182	193	184
194	183	174	185
195	186	177	184
176	187	196	185
197	189	179	186
198	187	178	188
199	188	180	189
90	91	200	190
201	191	181	190
203	69	70	192
182	191	202	193
205	192	183	194
184	193	204	195
185	196	207	194
206	197	186	195
187	198	209	196
208	199	189	197
210	198	188	199
211	200	91	92
190	200	212	201
214	68	69	203
213	202	191	201
193	202	215	204
217	203	192	205
195	204	216	206
194	207	218	205
219	208	197	206
196	209	220	207
222	209	198	210
221	210	199	208
223	212	200	211
224	211	92	93
201	212	225	213
227	67	68	214
226	215	202	213
229	214	203	217
204	215	228	216
231	217	205	218
230	219	206	216
207	220	232	218
233	221	208	219
234	220	209	222
235	222	210	221
236	223	211	224
237	225	212	223
93	94	238	224
213	225	239	226
240	66	67	227
241	228	215	226
243	227	214	229
242	230	216	228
245	229	217	231
244	233	219	230
248	231	218	232
246	232	220	234
247	235	221	233
249	234	222	235
251	237	223	236
226	239	250	241
224	238	252	236
253	239	225	237
94	95	254	238
255	65	66	240
256	242	228	241
257	240	227	243
258	244	230	242
229	245	260	243
233	244	259	247
263	245	231	248
264	248	232	246
261	246	234	249
262	249	235	247
253	265	250	239
236	252	266	251
267	253	237	251
238	254	268	252
269	254	95	96
270	241	250	265
271	64	65	255
273	255	240	257
272	258	242	256
243	260	275	257
244	258	274	259
247	259	276	262
277	261	249	262
245	263	278	260
279	264	246	261
280	263	248	264
283	256	241	270
282	265	253	267
254	269	281	268
251	266	284	267
252	268	285	266
286	269	96	97
287	63	64	271
288	271	255	273
289	274	258	272
257	275	290	273
259	274	291	276
262	276	292	277
260	278	293	275
294	279	261	277
296	278	263	280
295	280	264	279
297	270	265	282
256	283	301	272
282	267	284	298
286	299	281	269
266	285	300	284
304	268	281	299
303	283	270	297
98	302	286	97
305	62	63	287
306	287	271	288
308	288	273	290
307	291	274	289
276	291	309	292
275	293	310	290
311	294	277	292
