-2.80E-04	4.04E-05	-2.38E-04
-2.45E-04	-2.02E-05	-3.34E-04
-1.68E-04	-7.99E-05	-3.88E-04
-8.80E-05	-1.07E-04	-3.21E-04
-3.73E-05	-7.35E-05	-2.31E-04
-1.84E-05	-9.52E-07	-1.64E-04
1.37E-05	1.32E-04	-2.21E-04
7.48E-05	1.30E-04	-3.14E-04
1.48E-04	8.72E-05	-3.75E-04
2.23E-04	2.81E-05	-3.06E-04
2.59E-04	-3.51E-05	-2.29E-04
1.99E-04	-4.84E-05	-1.40E-04
8.54E-05	-5.83E-05	-1.66E-04
-3.42E-05	-7.33E-05	-2.45E-04
-8.16E-05	-1.19E-04	-3.47E-04
-5.45E-05	-1.73E-04	-3.62E-04
-1.91E-05	-1.56E-04	-2.98E-04
-1.37E-05	-4.52E-05	-2.45E-04
1.38E-05	1.62E-04	-2.81E-04
4.37E-05	1.74E-04	-3.47E-04
6.54E-05	1.23E-04	-3.10E-04
3.72E-05	7.40E-05	-2.54E-04
-9.59E-05	6.40E-05	-1.83E-04
-2.12E-04	5.56E-05	-1.56E-04
-6.97E-07	2.03E-07	-1.33E-07
-6.26E-04	1.15E-04	-2.18E-04
8.22E-04	-1.64E-03	-9.58E-04
6.25E-04	-1.11E-04	-2.17E-04
-1.60E-06	8.40E-05	-1.35E-04
-3.80E-06	7.50E-05	-2.23E-04
1.60E-07	1.79E-07	6.83E-07
-3.70E-07	-1.29E-06	-3.18E-06
-4.84E-06	1.77E-06	-5.99E-06
-1.11E-05	1.95E-06	-1.01E-05
-2.16E-05	6.70E-06	-1.29E-05
-3.30E-05	9.36E-06	-1.44E-05
-4.64E-05	1.39E-05	-1.60E-05
-5.99E-05	1.83E-05	-1.51E-05
-7.27E-05	2.17E-05	-1.45E-05
-8.44E-05	2.60E-05	-1.22E-05
-9.37E-05	2.83E-05	-9.57E-06
-1.01E-04	3.08E-05	-6.83E-06
-1.06E-04	3.18E-05	-5.28E-06
-1.10E-04	3.33E-05	-4.45E-06
-1.15E-04	3.36E-05	-7.37E-06
-1.25E-04	3.67E-05	-1.36E-05
-1.43E-04	4.07E-05	-2.45E-05
-1.72E-04	5.00E-05	-3.70E-05
-2.12E-04	6.16E-05	-4.97E-05
-2.62E-04	7.79E-05	-5.92E-05
-3.15E-04	9.45E-05	-6.19E-05
-3.63E-04	1.11E-04	-5.51E-05
-4.02E-04	1.23E-04	-4.02E-05
-4.30E-04	1.32E-04	-2.34E-05
-4.45E-04	1.35E-04	-8.94E-06
-4.50E-04	1.36E-04	-1.48E-06
-4.50E-04	1.35E-04	1.68E-06
-4.48E-04	1.34E-04	2.46E-06
-4.46E-04	1.34E-04	9.59E-07
-4.46E-04	1.33E-04	-1.62E-06
-4.49E-04	1.34E-04	-4.61E-06
-4.54E-04	1.36E-04	-7.08E-06
-4.61E-04	1.38E-04	-9.35E-06
-4.70E-04	1.41E-04	-1.12E-05
-4.80E-04	1.43E-04	-1.39E-05
-4.93E-04	1.48E-04	-1.65E-05
-5.09E-04	1.49E-04	-2.60E-05
-5.35E-04	1.60E-04	-3.70E-05
-5.90E-04	1.46E-04	-1.28E-04
3.12E-04	-1.21E-03	-7.80E-04
1.41E-04	-7.59E-04	-3.80E-04
1.88E-04	-5.76E-04	-1.81E-04
1.04E-04	-4.39E-04	-1.40E-04
1.19E-04	-3.63E-04	-9.28E-05
7.21E-05	-2.92E-04	-6.89E-05
8.44E-05	-2.50E-04	-5.98E-05
4.82E-05	-1.99E-04	-4.87E-05
5.79E-05	-1.69E-04	-3.88E-05
3.19E-05	-1.32E-04	-3.84E-05
3.73E-05	-1.07E-04	-2.93E-05
1.81E-05	-7.85E-05	-3.02E-05
2.10E-05	-5.90E-05	-2.24E-05
7.51E-06	-3.82E-05	-2.19E-05
9.42E-06	-2.47E-05	-1.45E-05
5.62E-07	-1.18E-05	-1.27E-05
2.67E-06	-5.24E-06	-5.93E-06
-2.03E-06	-3.29E-07	-3.59E-06
8.54E-07	3.01E-09	7.49E-07
5.90E-04	-1.46E-04	-1.30E-04
5.34E-04	-1.59E-04	-3.88E-05
5.07E-04	-1.49E-04	-2.76E-05
4.90E-04	-1.47E-04	-1.80E-05
4.77E-04	-1.43E-04	-1.54E-05
4.66E-04	-1.39E-04	-1.21E-05
4.57E-04	-1.37E-04	-1.06E-05
4.49E-04	-1.34E-04	-7.93E-06
4.44E-04	-1.33E-04	-5.96E-06
4.40E-04	-1.31E-04	-2.23E-06
