% Model:              FEM.mph
% Version:            COMSOL 6.1.0.252
% Date:               Feb 16 2024, 11:34
% Dimension:          3
% Nodes:              795
% Expressions:        4
% Description:        位移场，X 分量, 位移场，Y 分量, 位移场，Z 分量, von Mises 应力
% Length unit:        m
% X                       Y                        Z                        u (mm)                   v (mm)                   w (mm)                   solid.mises (N/m^2)
0                         0.06828527626681734      0.07678574681351863      0                        0                        0                        3896373.8253071806
0.05074367826385415       0.08932277506900721      0.05022934590762831      -0.1070635229775727      -0.002837134493613475    -0.042263167842200494    6617278.722347823
0                         0                        0                        0                        0                        0                        8985375.76034265
0                         0.1                      0                        0                        0                        0                        8289623.607099868
0                         0.13488379034407055      0.06491853358226111      0                        0                        0                        4322105.384692075
0                         0                        0.09999999999999996      0                        0                        0                        3909948.939107532
0.07084218847949889       0                        0.06335922201745484      -0.14650147524819065     -0.03799277423338736     -0.05260319038939332     6260882.180074862
0.06671257861605966       0.13745314746076154      0                        -0.2077757336871122      0.01848623960199292      -0.08844390220391186     9299426.97345369
0                         0.2                      0                        0                        0                        0                        8975748.155893745
0.08115074711258075       0.07700578424093081      0                        -0.24964301533452102     -0.012023705332133003    -0.10934908028585062     8942194.663398447
0.10000000000000003       0                        0                        -0.3102281923762041      -0.056040825312149       -0.12785096135477517     8628589.147414068
0.11724013803094097       0.04367035699966612      0.045576971937899384     -0.26905870204301496     -0.025433213673554576    -0.1460466616963098      6959503.157496108
0.13949295220116398       0.10030905774791976      0.06407112597559515      -0.2787132284940164      3.3506432442573686E-4    -0.19055928265971211     6164877.336747611
0.05584343109192674       0.1435169652229572       0.09231915682873086      -0.08344430728279174     0.01092415426089907      -0.03379415620916556     4730216.6747040935
0                         0.1280305162290639       0.14137364323627463      0                        0                        0                        1801466.600386788
0                         0.19999999999999998      0.09999999999999996      0                        0                        0                        3963195.5975369047
0.0765571173036971        0.2                      0.06665627002188668      -0.15343328302880185     0.03770106188537133      -0.05861437495613463     5807065.663805334
0                         0                        0.19999999999999998      0                        0                        0                        677458.5601628578
0                         0.0664055553130332       0.1702446853536444       0                        0                        0                        955448.5344801316
0.09309800035178242       0                        0.14982247025459516      -0.06757661691387831     -0.014985821507765314    -0.06343744135325848     2273305.5530236117
0.0553112929793749        0.06875408607150482      0.13772637430537116      -0.046790845611158205    -0.004373117186107085    -0.027147099115015748    2674293.01430975
0.1134675301723076        0.062016733081179096     0.1103263925200883       -0.14619952840055725     -0.010077388099973153    -0.11789281579838669     4124491.3056848696
0.07536377715641507       0                        0.25035768197347597      0.05508915996247799      0.014657416650109148     -0.038278873236813456    2165567.638774412
0.05131589607021675       0.056547553427539        0.21723129979303354      0.011959009232526331     0.0016130428361582898    -0.019967616642293393    865141.5901286919
0                         0                        0.29999999999999993      0                        0                        0                        3941882.5738196736
0                         0.069820116466058        0.26456487075202656      0                        0                        0                        1988801.847313255
0                         0.132262840664003        0.2333923151158943       0                        0                        0                        1053930.0895444048
0.06552208149149405       0.1336870518050912       0.18316524965880907      -0.014946330860912424    0.001355662653566767     -0.03466843119746799     916981.4598189165
0                         0.2                      0.19999999999999998      0                        0                        0                        649121.5922249886
0                         0.06354529828711127      0.3359649098766224       0                        0                        0                        4462418.790632763
0                         0                        0.4                      0                        0                        0                        9103544.842066787
0.06542811180731078       0                        0.3317820662943475       0.13079969806465105      0.03627137315196026      -0.04346809947393831     5984582.878050477
0.060990526819920676      0.07680988696341015      0.2935206086133437       0.07865759858189342      0.00529791254453942      -0.03817179825156459     4100448.563955851
0                         0.12671560146972954      0.32420337116167225      0                        0                        0                        3903093.599474078
0.04178164418787142       0.1083814385900459       0.3593428871807146       0.09436949379765071      -0.002134033551563694    -0.03560055329245921     6965160.08311634
0                         0.1                      0.4                      0                        0                        0                        8336009.680311904
0.1526596312765799        0                        0.06986463551636049      -0.29278824518396        -0.038408814550770616    -0.20631936221580846     5699452.332311945
0.16464832176791983       0.06862928071740214      0.14664058491343998      -0.1269978967006278      -0.004976748064728239    -0.22950781768412537     2467706.5415806663
0.15594871772620922       0.058314913342474545     0                        -0.4710946219371629      -0.024166361783595852    -0.26005246428004125     8778260.886189703
0.09999999999999964       0.2                      0                        -0.31023954273535975     0.057483588754172095     -0.12693677562248318     8635976.801509252
0.11730601950519282       0.15520370998085925      0.08286170414428938      -0.20032217380276773     0.01968090219656512      -0.13130780086980612     5329009.032726446
0.15881523784473722       0.12617743712531773      0                        -0.4792975110245585      0.015838443650605546     -0.268820769432161       8781243.280731952
0.2                       0                        0                        -0.5982070409269157      -0.05730789552768039     -0.37431305420926        8562036.624744833
0.1136460682672949        0.05475443854946405      0.327173946375657        0.21094955341190197      0.017183920288165015     -0.12886006063410488     5829731.416059101
0.1482404684504397        0                        0.3157498420980729       0.25167938880560786      0.034516697117465196     -0.18998775707537782     5090796.964478352
0.10000000000000003       0                        0.4000000000000001       0.31031834471106906      0.05710585056433321      -0.1272359308717859      8668547.495724354
0.19844813865030592       0.05843981058929291      0.06694141870322076      -0.3880563467204173      -0.015936013161839496    -0.34910847503494935     5785416.742858615
0.22317084134460208       0.04775256603767471      0.13251116048034528      -0.21843422706894616     -0.01008558815750513     -0.41150223570095595     2959908.6980740814
0.20789823186277623       0                        0.1623287082791759       -0.11323625037794434     -0.010862801814949957    -0.3443040452451011      1763219.6905625265
0.14757874194999943       0                        0.22925037312583446      0.062192213608093655     0.008897936903421942     -0.17002203413053518     1433705.8101635808
0.09251920357176645       0.2                      0.15581583790339026      -0.05945232713613078     0.013487644027451113     -0.06178191208933474     2030400.6368347288
0.158536113689971         0.2                      0.07289181340237505      -0.29644419860375115     0.03786219173578819      -0.21988633745920746     5575642.898420238
0.12749411294129112       0.12014396510818023      0.13539280699702752      -0.11802613630171843     0.0041502434916228645    -0.14233362358409665     3003631.6991931405
0.11423789362765085       0.08253841335133319      0.21239787292023488      0.02006365285058086      7.330516519648281E-4     -0.11002156626914737     903048.6970095335
0.15264419327779846       0.04790602947927537      0.27366490038729097      0.16296419931408387      0.011687050784815101     -0.19963658664705075     3342147.472131755
0.20644114403525152       0                        0.2522978530573215       0.15617000252255833      0.01520087979570705      -0.34134679319222316     2345416.405002616
0.15701550552177576       0.16393287818084232      0.175782350313396        -0.054852351813214115    0.004847329371998081     -0.2017891161105521      1266181.0594157274
0.20092909774922382       0.1002264607945587       0.21851219246504516      0.05383668808068536      2.1729755546479366E-5    -0.33420765012068243     1062067.3852726165
0.06167731690774364       0.14419135286410242      0.2748712866693114       0.063480805844208        -0.008283633620690518    -0.03465843965971894     3301279.041810315
0                         0.2                      0.29999999999999993      0                        0                        0                        4000853.025752332
0.07617545456840134       0.2                      0.2555982861850867       0.06132220560164252      -0.01570369420228036     -0.03992417006969673     2362272.9546547914
0.1265949176304683        0.1418742115503881       0.2329355140597495       0.05962839158233923      -0.004217640143359286    -0.13443401453299136     1619219.9608933325
0.14908403725473676       0.2                      0.23159079762584672      0.06792733835089787      -0.009490993503183805    -0.17377051208598193     1525527.1738734639
0.08206059529000741       0.07871591266149397      0.4                      0.2534653316689886       0.011425385417954324     -0.1121408119058927      9234014.740058104
0.06654523823805363       0.2                      0.327991191072187        0.12896660133540055      -0.03554930821682044     -0.04413088737066169     5873332.699161033
0.0687638891535201        0.13798923912990493      0.4                      0.21319283162133515      -0.018971875108203896    -0.090575721493369       8983624.390266633
0.09173111448417287       0.12659875613446167      0.3267501588152261       0.167312376000718        -0.009368307720343206    -0.09071615894356701     5821882.766785515
0                         0.2                      0.4                      0                        0                        0                        8998283.05666906
0.25325279295869835       0                        0.07714332695120403      -0.4527845118090151      -0.03443507788237244     -0.528842678327181       5194844.652601806
0.20660257956117756       0.1318347267120111       0.06757410382141357      -0.4016533471031688      0.012469643207814797     -0.37611808180617184     5741064.557446411
